"У Вас есть один пропущенный вызов 09.08.2016 в 21:27."	0
"Кирилл дома, я позже позвоню"	1
" И что "	2
"Я пнрезвоню"	2
"Ты ток Андрюхе не говори про Руса что разбился и мотор купил ладно?"	2
"Как дела слышал что ты уволился "	0
"Это означает что ты со мной так и не поговориш? Больше я не побуду с тобой рядом? Это все?"	2
"89119045048"	0
" Ты меня в краску вводишь "	1
"Да, хорошо"	1
"Пришло"	1
"Вместо тревожных сумок ввели баулы с тем же содержимым! Там нужна сумка раскладка! Думаем купить материал и сделать на всех! Пришлите ответ кого учитывать! "	0
"А я нет"	2
"Сегодня Эля деньги должна, не забудь. Позвони. "	1
"Ваша просьба перезвонить получена . Возьмите «Доверительный платеж», набрав *141# и мы временно пополним Ваш счет, чтобы Вы оставались на связи. Чтобы узнать сумму и стоимость услуги, наберите *141*7#.  Вы также можете пополнить баланс с банковской карты без комиссии на oplata.beeline.ru."	0
"Не едьте на комс, там будет Андрюха, метляю пизда будет"	2
"Всё у нас хорошо."	1
"Нат почту проверь"	0
"Надо в магаз заехать"	0
"Ваша просьба перезвонить получена . Пополняйте баланс без комиссии на oplata.beeline.ru и оставайтесь всегда на связи!"	0
"Хорошо. Спасибо. Извини, я не посмотрела что уже поздно"	1
"Я УЖЕ НА АКАДОСЕ"	1
"6-7 паллет"	0
"а ты чем занимаешся"	0
"Ой это я маме писала что малой кинул насчёт мне"	1
"Я не могу ответить. Я перезвоню Вам позже."	0
"Эргоферон,ромашку и заплати за инет,а то скучно!игорю лучше,он играет"	1
"Все хорошо просто хотелось пожелать спокойной ночи"	1
"Мне взял?"	0
"79630031137"	0
"Ната новые счета на электронке"	0
"Завтра на работу к 7и,не забываем))Кто не может? пишите,звоните!"	1
"Саня  здарово напишеш что надо купить"	0
"8-906 -268 -82 -75 "	0
"Я не хочу тебя отпускать одного. Ты обещал что во все  командировки будем ездить вдвоем"	2
"Аварийка приезжала?"	0
"Я на эту тему толику написала что он ответит"	0
"Игорь,взамену вашему подходит?sfoto.cf по сайту я."	0
"Мы с Кириллом наверное пойдём провожать ее"	0
"Я сказала брать не буду я просила оставить."	2
"Анниковой"	0
"Хорошо"	1
"Что нибудь.ты отец или так"	2
"Что делаешь? Какие планы?"	0
"Султан, у тебя там все в порядке ?"	0
"Звонил?"	0
"Понимаю .. ( люблю тебя :* норм все.. Лежу вот... У меня чет тел с ума сходит, мигает мигает  подсветка и выключается телефон, пока на зарядку не поставлю не включится :("	1
"Что я сказала позвони я не хера не пойму"	2
"Скидывать"	2
"Купать ся будем.мы скучаем "	1
"ну ладно ничего страшного :)"	1
"Доброе утро!Необходимо сдать теорию без ошибок!Ни пуха ни пера!"	1
"А позвонишь когда? Я тоже скучаю. Дома сижу настроения нет"	0
"Вам голосовое сообщение от этого абонента. 11/05 в 21:48Прослушать-600,в роуминге +79046000600"	0
"Доброе утро! Телефон садится. Буду ненасаязи. К 14:30 подходи на белинского 11, это общежитие академии музыки и театра. Могу чуток опоздать. Тока выехал. "	0
"Кто звонил+! Непринятые звонки: +79632546282: (3) последний в 00:24 29/11"	0
"Да хорошо"	1
"Мы с боку от сцены напротив кировки Где ограждение"	0
"Бухать"	1
"Я Вам звонил(а) 07/10 в 19:43."	0
"Купи арбуз плиз,а лучше дыню"	0
"Здесь"	0
"Как дела?"	0
"От данного абонента пропущено вызовов:1, последний в: 12:13 19/09."	0
"Я Вам звонил(а) 26/09 в 07:43."	0
"Зачем бабки то. Ниче не будем покупать да и всё. Так кальяньчика покурим, пообщаемся"	1
"Ты мне дай знать что надумали? Да или нет в любом случае скажи, хорошо.:)"	1
"Солнце уснуло. Сладких снов."	1
"Гришуля, положи мне 500 рублей на телефон, возьми у папы"	1
"Мы уже в пургу обратно зашли "	0
"Переписку прочьти"	0
"Прошу Вас перезвонить мне на номер +79501989131"	0
"Я Вам звонил(а) 15/04 21:56"	0
"Жива здорова"	1
"Драфты еще не подтвердили, ждем ответа, я сообщу."	0
"чтобы я не нервничала"	0
"Можешь подъезжать"	0
"Я вчера вечером пиво попробовала выпить - на полчаса стало легче, потом опять голова заболела. Лучше не похмеляйся."	0
"Даж так"	0
"Ваша просьба перезвонить получена . Возьмите «Доверительный платеж», набрав *141# и мы временно пополним Ваш счет, чтобы Вы оставались на связи. Чтобы узнать сумму и стоимость услуги, наберите *141*7#.  Вы также можете пополнить баланс с банковской карты без комиссии на oplata.beeline.ru."	0
"Выйди в друг,это нэти"	1
"Чего?)"	1
"Коля 8-906 -268-82-75"	0
"Что ты хочешь? "	0
"Сереня без сдачи"	0
"Вас срочно просит позвонить абонент +79508779486"	0
"Я так ждала это 8 октября и все мимо прошло( Состояние твоё представляю - вчера весь день в похмельном каматозе провела, ужас..."	2
"Ты же в гамно, зачем мне с тобой видеться в таком состоянии?"	2
"У Вас есть один пропущенный вызов 13.09.2016 в 17:29."	0
"Купила.у соседки заняла.тут банкоматов нет.завтра сниму отдам ей"	0
"Фальга есть?"	0
"8913 595 6041"	0
"Спасибо"	1
